course_id,course,wbl,level,department,field,semesters,description,career
POLY-DIP-011,Diploma Kejuruteraan Elektrik (Kecekapan Tenaga),0,Diploma,Kejuruteraan Elektrik,Kejuruteraan Elektrik (Kecekapan Tenaga),6,"Diploma dalam program Kejuruteraan Elektrik (Kecekapan Tenaga) direka untuk meliputi disiplin kejuruteraan elektrik, dengan penekanan kepada bidang pengurusan tenaga. Asas elektrik dan elektronik yang meluas yang merangkumi prinsip elektrik dan elektronik, asas-asas dan komputer pengaturcaraan, peranti semikonduktor, pendawaian elektrik, sistem kuasa dan reka bentuk bantuan komputer menyediakan graduan yang serba boleh. Pada akhir program ini, pelajar dilengkapi dengan kursus-kursus pengkhususan termasuk Asas Elektrik Utiliti, Tenaga Boleh Diperbaharui, Pengurusan Tenaga dan Audit dan Kecekapan Tenaga Elektrik Utiliti. Selain daripada pengetahuan dan kemahiran teknikal, program ini juga memberi penekanan kepada pembangunan potensi individu pelajar dalam cara yang bersepadu dan holistik melalui kursus seperti pengajian Islam, kajian moral, ko-kurikulum, kemahiran insaniah dan keusahawanan.","* Penolong Pegawai Tenaga
* Auditor Tenaga
* Juruteknik Tenaga
* Penolong Jurutera Tenaga
* Penasihat Perkhidmatan Kejuruteraan Elektrik
* Penyelia Kejuruteraan Elektrik
* Penolong Jurutera
* Juruteknik Elektrik
* Sustainability Professional"
POLY-DIP-012,Diploma Kejuruteraan Elektrik (Tenaga Hijau),0,Diploma,Kejuruteraan Elektrik,Kejuruteraan Elektrik (Tenaga Hijau),6,"Program Diploma Kejuruteraan Elektrik (Tenaga Hijau) direka untuk meliputi disiplin kejuruteraan elektrik, dengan penekanan pada bidang tenaga hijau. Asas elektrik dan elektronik yang merangkumi prinsip-prinsip elektrik dan elektronik, asas dan pengaturcaraan komputer, peranti semikonduktor, pendawaian elektrik, sistem kuasa dan reka bentuk dibantu komputer memberikan kepelbagaian kepada graduan. Menjelang akhir program, pelajar dilengkapi dengan kursus pengkhususan yang merangkumi Asas Tenaga Hijau, Sistem Tenaga Hijau, Kecekapan Tenaga dan Pengurusan dan Integrasi Sistem Tenaga Hijau.
Selain pengetahuan dan kemahiran teknikal, program ini juga memberi penekanan kepada perkembangan potensi individu pelajar secara bersepadu dan holistik melalui kursus-kursus seperti Sains, Teknologi dan Kejuruteraan Islam, Nilai Masyarakat Malaysia, Ko-kurikulum dan Keusahawanan.","Program ini menyediakan pengetahuan dan kemahiran dalam kejuruteraan elektrik dengan pengkhususan dalam tenaga hijau yang boleh digunakan untuk pelbagai kerjaya dalam kebanyakan pembekal tenaga, perunding pengurusan tenaga dan industri perkilangan. Pengetahuan dan kemahiran yang diperoleh oleh pelajar dari program ini akan membolehkan mereka menyertai pasaran kerja sebagai:
* Pegawai Tenaga
* Penolong Juruaudit Tenaga
* Juruteknik Tenaga
* Penolong Jurutera Tenaga
* Penyelia Kejuruteraan Elektrik
* Penasihat Perkhidmatan Kejuruteraan Elektrik
* Penolong Jurutera
* Juruteknik elektrik
* Wind Turbine Technician
* Solar Installer
* Clean Car Engineer
* Sustainable Builder
* Sustainability Professional"
POLY-DIP-013,Diploma Kejuruteraan Elektronik,0,Diploma,Kejuruteraan Elektrik,Kejuruteraan Elektronik,6,"Diploma Kejuruteraan Elektronik ini direkabentuk bagi melahirkan tenaga kerja separa profesional yang berkemahiran tinggi dalam bidang kejuruteraan elektronik dengan pengkhususan dalam bidang mikroelektronik dengan teknologi optikal yang diberi nama optoelektronik. Para pelajar didedahkan dengan pengetahuan asas elektronik yang luas meliputi bidang kuasa, telekomunikasi, kawalan, instrumentasi dan komputer. Di peringat akhir pengajian pula, pelajar akan mengikuti program menjurus kepada pengkhususan dalam bidang optoelektronik.
Graduan Diploma Kejuruteraan Elektronik ini bakal mempunyai peluang kerjaya yang cerah dalam bidang pembuatan elektronik dan kelebihan dalam bidang optoelektronik. Pengetahuan berkenaan optoelektronik di dalam mikro elektronik dan industri semikonduktor sangat memerlukan tenaga berkemahiran yang terlatih untuk menghadapi cabaran pada masa kini","Lulusan Diploma Kejuruteraan Elektronik berpeluang menceburi kerjaya sebagai Penolong Jurutera Elektronik dalam bidang pembuatan elektronik dan kelebihan bidang optoelektronik. Di samping layak untuk memegang jawatan sebagai Pembantu teknik dalam sektor kerajaan seperti Kementerian Penerangan, Jabatan Komunikasi dan lain-lain jabatan berkaitan dengan kerja-kerja elektronik dan optoelektronik. Pelajar yang telah tamat pengajian boleh mengisi jawatan sebagai Juruteknik Pengeluaran, Penolong Penyelia Industri, Penolong Pegawai Latihan Vokasional dan lain-lain kerjaya yang berkaitan."
POLY-DIP-014,Diploma Kejuruteraan Elektronik (Kawalan),0,Diploma,Kejuruteraan Elektrik,Kejuruteraan Elektronik (Kawalan),6,"Diploma Kejuruteraan Elektronik (Kawalan) ini telah direkabentuk untuk menyediakan pelajar yang berpengetahuan luas dalam bidang kejuruteraan elektronik menjurus kepada proses dan automasi industri. Pengetahuan asas mengenai Pengawal Logik Boleh Aturcara dan automasi, Sistem Kawalan, Sistem Automatik & Kawalan Motor Elektrik, Instrumentasi dan kawalan industri serta pengaturcaraaan turut didedahkan kepada pelajar untuk menghasilkan pelajar yang berkebolehan dan masih menitikberatkan area pengkhususan mereka.
Penggunaan elektronik di dalam proses dan industry automasi pada masa kini amat memerlukan pekerja yang berkemahiran dan terlatih. Diploma Kejuruteraan Elektronik (Kawalan) membekalkan graduan dengan kemahiran yang diperlukan.","Program Diploma Kejuruteraan Elektronik (Kawalan) membekalkan graduan dengan pengetahuan dan kepakaran dalam bidang kejuruteraan elektronik dan membolehkan para graduan mempunyai prospek kerjaya yang lebih luas dalam kebanyakkan industri kejuruteraan seperti:
	Juruteknik proses penyenggaraan alat
	Juruteknik Elektronik
	Juruteknik tapak
	Pembantu Jurutera
	Bekerja sendiri"
POLY-DIP-015,Diploma Kejuruteraan Elektronik (Komputer),0,Diploma,Kejuruteraan Elektrik,Kejuruteraan Elektronik (Komputer),6,"Diploma Kejuruteraan Elektronik (Komputer) ini telah direkabentuk untuk menghasilkan pelajar yang berpengetahuan luas dalam bidang kejuruteraan elektronik dengan pengkhususan dalam bidang elektronik berasaskan teknologi komputer. Pelajar juga didedahkan dengan pengetahuan asas elektronik yang meluas dalam bidang kuasa, telekomunikasi, kawalan, instrumentasi dan juga komputer yang dapat menghasilkan graduan yang berkebolehan dan masih menitikberatkan area pengkhususan mereka.
Para graduan ini bakal mempunyai peluang kerjaya yang cerah dalam bidang teknologi komputer. Penggunaan alatan elektronik dalam peralatan berasaskan komputer pada masa kini sangat memerlukan juruteknik berkemahiran dan terlatih. Diploma Kejuruteraan Elektronik (Komputer) daripada Politeknik membekalkan graduan dengan keperluan kemahiran teknikal yang diperakui dan diiktiraf dalam bidang Kejuruteraan Elektronik (Komputer)","Program Diploma Kejuruteraan Elektronik (Komputer) membekalkan graduan dengan pengetahuan dan kepakaran dalam bidang kejuruteraan elektronik dengan pengkhususan dalam bidang pengkomputeran. Kemajuan moden bidang pengkomputeran dan elektronik yang terus menjadi tumpuan utama badan-badan organisasi membolehkan para graduan mempunyai prospek kerjaya yang luas dalam indusrti seperti:
* Juruteknik Komputer
* Juruteknik Elektronik
* Juruteknik Perisian
* Juruteknik Audio Visual
* Pakar Teknikal
* Juruteknik khidmat Elektrik, elektronik dan komputer
* Pembantu Jurutera
* Eksekutif Pemasaran
* Berkerja sendiri"
POLY-DIP-016,Diploma Kejuruteraan Elektronik (Komunikasi),0,Diploma,Kejuruteraan Elektrik,Kejuruteraan Elektronik (Komunikasi),6,"Diploma Kejuruteraan Elektronik (Komunikasi) merangkumi disiplin bidang kejuruteraan elektronik yang luas, dengan pengkhususan dalam teknologi komunikasi. Program ini direka bentuk dengan asas kejuruteraan elektrik dan elektronik yang merangkumi matematik, asas elektrik dan elektronik, asas komputer dan pengaturcaraan, asas sistem komunikasi, peranti semikonduktor, pemasangan pendawaian dan reka bentuk terbantu komputer yang dapat menghasilkan graduan yang berketerampilan dan serba boleh, disamping memberi penekanan terhadap bidang pengkhususan di akhir program. Kursus-kursus pengkhususan yang terlibat dalam program ini adalah telefoni, sistem komunikasi gentian optik, komunikasi data dan rangkaian, komunikasi tanpa wayar dan peranti gelombang mikro.
Selain daripada penerapan pengetahuan dan kemahiran teknikal, program ini juga memberi penekanan kepada pembangunan potensi individu pelajar secara bersepadu dan holistik melalui kursus-kursus seperti sains, teknologi dan kejuruteraan dalam Islam, Nilai Masyarakat Malaysia, Pengajian Malaysia, ko-kurikulum, pekerjaan, keselamatan dan kesihatan dan keusahawanan.","Para graduan mempunyai pilihan yang luas dalam sektor komunikasi seperi Telekom Malaysia Berhad, Celcome, Maxis, Sapura, Axiata, Webe, SIRIM, firma-firma perundingan dan sebagainya. Disamping itu graduan juga boleh memberi sumbangan dalam sistem penyiaran di stesen-stesen radio atau televisyen, institusi pengajian serta firma-firma perundingan.
Program ini menyediakan pengetahuan dan kemahiran dalam bidang Kejuruteraan Komunikasi yang boleh digunapakai secara meluas dalam kerjaya yang akan diceburi. Pengetahuan dan kemahiran yang diperolehi graduan daripada program ini membolehkan mereka untuk menyertai pasaran kerja seperti berikut:
* Pembantu Jurutera
* Pembantu Jurutera Frekuensi Radio
* Eksekutif Teknikal
* Eksekutif Pemasaran
* Penyelia Teknikal
* Pembantu Perancang Teknikal
* Pembantu Jurutera Rangkaian
* Pembantu Pentadbir Rangkaian
* Pembantu Jurutera Drive Test
* Pembantu Jurutera Analisis Drive Test
* Juruteknik Elektrik / Elektronik"
POLY-DIP-017,Diploma Kejuruteraan Elektronik (Perubatan),0,Diploma,Kejuruteraan Elektrik,Kejuruteraan Elektronik (Perubatan),6,"Diploma Kejuruteraan Elektronik (Perubatan) merangkumi disiplin bidang kejuruteraan elektronik yang luas, dengan pengkhususan elektronik perubatan. Program ini merangkumi asas kejuruteraan elektrik dan elektronik seperti matematik, asas elektrik dan elektronik, asas komputer dan pengaturcaraan, asas sistem komunikasi, peranti semikonduktor, pemasangan pendawaian dan reka bentuk terbantu komputer yang dapat menghasilkan graduan yang berketerampilan dan serba boleh, disamping memberi penekanan terhadap bidang pengkhususan di akhir program. Kursus-kursus pengkhususan yang terlibat dalam program ini adalah anatomi & fisiologi, amalan sistem perubatan, pengukuran isyarat perubatan, instrumentasi perubatan dan pengimejan perubatan.
Penggunaan peralatan yang semakin canggih dan kompleks dalam bidang perubatan telah meingkat dengan pesat. Justeru itu, semakin banyak jurutera dan juteknik yang diperlukan seperti memberi khidmat membaikpulih peralatan dan mengendalikan peralatan-peralatan khusus serta mencipta dan membuat peralatan-peralatan perubatan.
Selain daripada penerapan pengetahuan dan kemahiran teknikal, program ini juga memberi penekanan kepada pembangunan potensi individu pelajar secara bersepadu dan holistik melalui kursus-kursus seperti sains, teknologi dan kejuruteraan dalam Islam, Nilai Masyarakat Malaysia, Pengajian Malaysia, ko-kurikulum, pekerjaan, keselamatan dan kesihatan dan keusahawanan.","Program ini menyediakan pengetahuan dan kemahiran dalam bidang Kejuruteraan elektronik perubatan yang boleh digunapakai secara meluas dalam kerjaya yang akan diceburi. Pengetahuan dan kemahiran yang diperolehi graduan daripada program ini membolehkan mereka untuk menyertai pasaran kerja seperti berikut:
* Juruteknik Kejuruteraan Bioperubatan
* Juruteknik Peralatan Bioperubatan
* Juruteknik Elektronik
* Penolong Teknikal
* Penolong Jurutera
* Perunding jualan
* Kakitangan Latihan"
POLY-DIP-018,Diploma Kejuruteraan Kimia,0,Diploma,Kejuruteraan Petrokimia,Kejuruteraan Kimia,6,"Diploma Kejuruteraan Kimia telah direkabentuk untuk memenuhi ruang disiplin terkini kejuruteraan kimia dan teknologi kimia. Ini akan memberikan nilai tambah kepada pelajar dalam pembangunan kerjaya mereka.Program menyediakan pelajar dengan pengetahuan, kemahiran teknikal yang diperlukan supaya mereka boleh bersaing selari dengan perkembangan teknologi dalam bidang kejuruteraan kimia. Pendekatan latihan adalah melalui teori and amali seperti pengoperasian bengkel, loji mini, simulasi proses danujikaji di makmal. Secara ilmiah, pengetahuan dalam kejuruteraan kimia terangkum dalam beberapa kursus berkaitan (Kualiti Alam Sekitar dan Kawalan Pencemaran, Tindak balas Kimia, Kimia Organik dan Sains Bahan). Beberapa kursus pengkhususan adalahChemical Reaction Engineering, Plant Engineering Drawing, Chemistry 2, Material Science dan Material Strength. Kursus-kursus seperti Polymer Engineering, Catalyst in Industry and Water dan Wastewater Engineering ditawarkan sebagai kursus elektif untuk memberi pendedahan kepada pelajar tentang disiplin yang berlainan dalam kejuruteraan kimia.","Penolong Jurutera / Assistant Engineer
	Juruteknik Proses / Process technician
	Penolong Pegawai Penyelidik / Assistant Researcher Officer
	PenolongPegawai Penguatkuasa / Assistant Enforcement Officer
	PembantuMakmal / Laboratory Assistant
	Pemeriksa Kawalan Kualiti / Quality Assurance Inspector
	Penolong Pegawa iAlam Sekitar / Environmental Assistant Officer
	Penyelia / Supervisor"
POLY-DIP-019,Diploma Kejuruteraan Mekanikal,0,Diploma,Kejuruteraan Mekanikal,Kejuruteraan Mekanikal,6,"Diploma Kejuruteraan Mekanikal direkabentuk meliputi disiplin bidang kejuruteraan mekanikal yang semasa dan releven beserta dengan subjek pengkhususan tambahan dalam bidang kejuruteraan mekanikal. Kurikulum program yang dibangunkan adalah bagi menghasilkan graduan yang holistik. Penekanan yang seimbang diberikan terhadap aspek teori dan praktikal. Kaedah pembelajaran yang terkini termasuk pembelajaran teradun turut dijalankan. Kursus teras yang ditawarkan termasuk Engineering Mechanics, Electrical Technology, Engineering Drawing, Mechanical Workshop Practice, Workshop Technology, Computer Aided Design, Thermodynamics, Fluid Mechanics, Strength Of Materials, Pneumatic & Hydraulics, Project, Maintenance Engineering & Management, Material Science, Mechanic Of Machines, Engineering Design and Mechanical Components &Maintenance. Kursus-kursus elektif adalah Computer Aided Design 2, Control System, Instrumentation & Control, Engineering Plant Technology, Quality Control, C programming, Programmable Logic Control, Industrial Management, Diagnose & Troubleshooting for Mechanical Component, Tamadun Islam, Integrasi Malaysia and Computer Application. Kursus teras umum pula meliputi Engineering Mathematics, Engineering Science, Occupational Safety & Health dan Entrepreneurship. Kursus wajib yang ditawarkan termasuk Pengajian Malaysia, Komunikasi dan Penyiaran Islam, Nilai Masyarakat Malaysia, Sains Teknologi Dan Kejuruteraan Dalam Islam dan Ko-Kurikulum akan menyediakan pelajar dengan kemahiran interpersonal, sikap dan profesionalisme kearah kemajuan kerjaya mereka.","Program ini menyediakan pengetahuan dan kemahiran dalam bidang kejuruteraan mekanikal yang boleh digunakan untuk pelbagai kerjaya dalam kejuruteraan mekanikal. Pengetahuan dan kemahiran yang diperoleh oleh pelajar dari program ini akan membolehkan mereka menyertai pasaran kerja sebagai:
* Penolong Jurutera
* Penolong Teknikal
* Penolong Pengurus penyelenggaraan
* Penyelia
* Junior Engineer
* Pengajar Teknikal atau Pensyarah
* Eksekutif Jualan Teknikal
* Juruteknik
* Eksekutif Kualiti
* Project coordinator"
POLY-DIP-020,Diploma Kejuruteraan Mekanikal (Automasi),0,Diploma,Kejuruteraan Mekanikal,Kejuruteraan Mekanikal (Automasi),6,"Diploma Kejuruteraan Mekanikal (Automasi) member pengetahuan asas yang luas dalam Kejuruteraan Mekanikal dan pengkhususan bidang Automasi. Pendedahan terhadap kursus teras seperti Sains Kejuruteraan, Lukisan Kejuruteraan, Mekanik Kejuruteraan, RekaBentuk Bantuan Komputer(CAD), Keselamatan dan Kesihatan Pekerjaan dan Mekanikal Amalan Bengkel menyediakan fleksibiliti kepada graduan, dengan menekankan bidang pengkhususan dalam Automasi. Kursus khusus termasuk Sistem Pembuatan, PLC, Automasi Robot Industri, Pengaturcaraan Automasi, Mekanisme Pemindahan Kuasa, Elektronik Kuasa Asas, Sistem Automasi Aplikasi dan Pembuatan Bersepadu Komputer(CADCAM).","Program ini menyediakan pengetahuan dan kemahiran dalam bidang Kejuruteraan Mekanikal Automasi(Automation) yang boleh digunakan untuk pelbagai kerjaya dalam industry perkilangan. Pengetahuan dan kemahiran yang diperoleh oleh pelajar dari program ini akan membolehkan mereka menyertai pasaran kerja sebagai:
* Penolong Jurutera (Assistant Engineer)
* Pengeluaran/Perancang Proses(Production/Process Planner)
* Eksekutif Perolehan(Procurement Executive)
* Pegawai Kualiti(Quality Officer)
* Penyelia Mekanikal & Elektrik(Mechanical & Electrical Supervisor)
* Automasi dan Penyelia Robotik(Automation and Robotic Supervisor)
* Penyelia Sistem Pengawal(Controller System Supervisor)
* Automasi dan Pengajar Robotik(Automation and Robotic Instructor)
* Pakar Teknikal(Technical Specialist)
* Penolong Teknikal(Technical Assistant)
* Pereka Automasi(Automation Designer)
* Pereka Produk(Product Designer)
* Perkhidmatan Sokongan Teknikal(Technical Support Services)"
POLY-DIP-021,Diploma Kejuruteraan Mekanikal (Automotif),0,Diploma,Kejuruteraan Mekanikal,Kejuruteraan Mekanikal (Automotif),6,"Diploma Kejuruteraan Mekanikal (Automotif) di Jabatan Pendidikan Politeknik, Kementerian Pendidikan Malaysia direka untuk meliputi disiplin yang luas dalam Bidang Kejuruteraan Mekanikal dengan subjek pengkhususan tambahan dalam Bidang Kejuruteraan Automotif. Kursus teras yang ditawarkan termasuk Mekanik Kejuruteraan, Lukisan Kejuruteraan, Workshop Technology, Computer Aided Design, Thermodinamik, Mekanik Bendalir, Sains Bahan, Bengkel Kejuruteraan Mekanikal 1, Teknologi Elektrik dan Strength of Material. Kursus pengkhususan seperti Teknologi Kejuruteraan Automotif, Amalan Bengkel Kejuruteraan Automotif, Automotif Elektrik dan Elektronik, Enjin Pembakaran Dalaman, Vehicle Dynamic, Workshop service Management dan Projek Akhir. Kursus teras pula termasuk dalam program ini ialah Matematik Kejuruteraan, Sains Kejuruteraan, Kesihatan & Keselamatan Pekerjaan dan Keusahawanan. Kursus-kursus wajib yang ditawarkan termasuk Sains, Teknologi dan Kejuruteraan Dalam Islam, Komunikasi dan Penyiaran Islam, Pengajian Malaysia, Nilai Masyarakat Malaysia, Komunikasi Bahasa Inggeris dan Ko-kurikulum akan memberikan pelajar kemahiran interpersonal dan profesionalisme ke arah kerjaya mereka.","Program ini menyediakan pengetahuan dan kemahiran dalam Bidang Kejuruteraan Mekanikal dan Bidang Kejuruteraan Automotif yang boleh digunakan untuk pelbagai kerjaya dalam industri Mekanikal dan Automotif. Pengetahuan dan kemahiran yang diperoleh oleh pelajar dari program ini akan membolehkan mereka menyertai pasaran kerja/ kerjaya sebagai:
 Penyelia Kilang
 Pasukan Penasihat Perkhidmatan
 Pengurus Servis
 Penolong Pengurus Servis
 Penyelia Bengkel
 Pegawai Eksekutif Jualan
 Penasihat Perkhidmatan Servis
 Pegawai Perkhidmatan Selepas Jualan"
POLY-DIP-022,Diploma Kejuruteraan Mekanikal (Bahan),0,Diploma,Kejuruteraan Mekanikal,Kejuruteraan Mekanikal (Bahan),6,"Diploma Kejuruteraan Mekanikal (Bahan) direka untuk menampung disiplin yang luas dalam bidang kejuruteraan mekanikal dengan pengkhususan dalam bidang bahan. Kursus yang ditawarkan dalam bidang asas kejuruteraan mekanikal adalah merangkumi Lukisan Kejuruteraan, Reka Bantu Komputer, Keselamatan dan Kesihatan Pekerjaan dan Bengkel Kejuruteraan Mekanikal. Manakala kursus-kursus khusus yang ditawarkan dalam bidang pengkhususan bahan adalah seperti Amalan Bengkel Kejuruteraan Bahan, Makmal Kejuruteraan Bahan, Pemprosesan Bahan, Teknologi Bahan, Metalurgi Fizikal, Ujian Musnah, Ujian Tidak Musnah, Teknologi Polimer, Bahan Komposit dan Termaju dan Kawalan Kualiti. Graduan program ini akan dilengkapi dengan kedua-dua pendedahan pengetahuan teori dan praktikal yang komprehensif berkaitan dengan keperluan pasaran pekerjaan semasa.","Program ini menyediakan pengetahuan dan kemahiran dalam bidang kejuruteraan mekanikal (bahan) yang boleh digunakan untuk pelbagai kerjaya dalam industri berasaskan Kejuruteraan Bahan. Pengetahuan dan kemahiran yang diperoleh oleh pelajar dari program ini akan membolehkan mereka menyertai pasaran kerja sebagai:
 Penolong pengawal kualiti (QC) dan jaminan kualiti (QA).
 Penolong penyelidik untuk agensi kerajaan, pusat penyelidikan dan makmal swasta.
 Penolong jurutera / pereka / pemilihan bahan.
 Pembantu / Juruteknik untuk makmal bahan.
 Pembantu makmal Ujian Musnah (DT) dan Ujian Tidak Musnah (NDT).
 Juruteknik penuangan logam.
 Penolong penganalisis sifat bahan.
 Juruteknik pemprosesan, pembuatan dan pengeluaran dalam bidang logam dan bukan logam 
 terutamanya untuk bahan besi dan keluli, bahan plastik, seramik, kaca dan komposit.
 Pembekal / Usahawan peralatan pengujian dan pemeriksa bahan.
 Kerjaya lain yang berkaitan bidang kejuruteraan bahan."
POLY-DIP-023,Diploma Kejuruteraan Mekanikal (Loji Kuasa),0,Diploma,Kejuruteraan Mekanikal,Kejuruteraan Mekanikal (Loji Kuasa),6,"Program Diploma Kejuruteraan Mekanikal (Loji Kuasa) merangkumi disipilin ilmu kejuruteraan yang mengkhususkan aplikasi sains dan matematik serta kemahiran teknikal dalam bidang loji penjanaankuasa elektrik. Kursus ini menyediakankepelbagaian disiplin ilmu kejuruteraan yang luas merangkumi Sains Kejuruteraan Mekanikal, Aplikasi Komputer & Perisian, Lukisan Kejuruteraan, Lukisan Terbantu Komputer (CAD), Keselamatan & Kesihatan Pekerjaan dan Amalan Bengkel Mekanikal. Kepakaran khas diterapkan menerusi kursus Sistem Kawalan Loji, Lukisan Perkhidmatan Loji, Kejuruteraan Loji Kuasa dan Penyelenggaraan Loji bagi melatih kemahiran mengendalikan dandang, turbin, enjin pembakaran dalam serta system rawatan air. Program ini membentuk pelajar yang memiliki kemahiran yang diperlukan oleh industry merangkumi kemahiran bidang, kemampuan menyelesaikan secara praktikal, beretika, professional, kemahiran berkomunikasi, kepemimpinan serta kemahiran keusahawanan berkaitan bidang loji.","Lulusan program ini bakal menyertai sector pekerjaan yang meluas seperti :-
* Pembantu Jurutera Loji
* Juruteknik Mekanikal
* Juruteknik Proses
* Juruteknik Penyelenggaraan
* Juruteknik Operasi Loji
* Juru dandang"
POLY-DIP-024,Diploma Kejuruteraan Mekanikal (Pembuatan),0,Diploma,Kejuruteraan Mekanikal,Kejuruteraan Mekanikal (Pembuatan),6,"Diploma in Mechanical Engineering (Manufacturing) Programme is designed as a part of mechanical engineering discipline focusing in manufacturing field. The core discipline courses include Engineering Drawing, Computer Aided Design, and Electrical Technology enhances the student knowledge and capabilities. In order to enrich student manufacturing knowledge, the specialized courses such as Manufacturing System, Manufacturing Workshop Practice, Computer Aided Manufacturing Design, Industrial Robotics, Manufacturing Control, Quality Control, Jigs, Fixtures & Tooling Design, Material Technology and Manufacturing Economy are introduced.","This programme provides the knowledge and skills in mechanical and manufacturing engineering field that can be applied to a broad range of careers in mechanical and manufacturing engineering. The knowledge and skills that the students acquire from the programme will enable them to participate in the job market as:
* Assistant Engineer
* Production/Process Executive
* Procurement Executive
* Quality Officer
* CNC Programmer
* Product Designer
* Technical Specialist
* Production/Process Supervisor
* Technical Assistant
* Precision Machinist"
POLY-DIP-025,Diploma Kejuruteraan Mekanikal (Pembungkusan Perindustrian),0,Diploma,Kejuruteraan Mekanikal,Kejuruteraan Mekanikal (Pembungkusan Perindustrian),6,"Program Diploma Kejuruteraan Mekanikal (Pembungkusan Perindustrian) ini mendedahkan pelajar kepada disiplin kejuruteraan mekanikal dari aspek teori dan praktikal dengan pengkhususan tambahan dalam bidang pembungkusan. Pelajar akan mengikuti kuliah, praktikal dan tutorial di dalam kelas. Kursus pengkhususannya meliputi Prinsip Pembungkusan, Bahan Pembungkusan & Pembuatan, Reka Bentuk Pembungkusan, Pencetakan Untuk Pembungkusan, Operasi Talian Pembungkusan, Pembungkusan Gunaan, Amalan Bengkel Pembungkusan dan Projek.Kursus teras adalah Teknologi Wokshop, Lukisan Kejuruteraan, Amalan Bengkel Mekanikal, Teknologi Elektrik, Mekanik Bendalir, Lukisan Terbantu Komputer 1, Thermodinamik, Mekanik Kejuruteraan, Kajidaya Bahan dan Pneumatik & Hidraulik.Kursus elektif yang ditawarkan termasuk Lukisan Terbantu Komputer 2, Kawalan Kualiti, Pengurusan Pengindustrian dan Instrukmentasi & Kawalan. Kursus umum adalah Matematik Kejuruteraan, Sains Kejuruteraan, Pekerjaan Keselamatan & Kesihatan (OSH) dan Keusahawanan. Kursus Wajib termasuk Pengajian Malaysia, Bahasa Inggeris,Nilai Masyarakat Malaysia, Sains Teknologi & Kejuruteraan Dalam Islam, Komunikasi & Penyiaran Islam dan Kokurikulum akan menyediakan pelajar dengan keupayaan interpersonal, sikap dan profesionalisme terhadap kerjaya mereka.","Program ini menyediakan pengetahuan dan kemahiran dalam bidang kejuruteraan mekanikal dan pembungkusan yang boleh digunakan untuk pelbagai kerjaya dalam industri mekanikal dan pembungkusan. Pelajar akan dapat mengambil bahagian dalam pasaran kerja sebagai:
	Penolong Jurutera
	Junior Engineer
	Penolong Pengurus Penyelenggaraan
	Penolong Teknikal
	Juruteknik Makmal
	Pengajar Teknikal atau Pensyarah
	Eksekutif Jurujual Teknikal
	Penyelia
	Pegawai Kualiti
	Pembantu Logistik
	Pembantu Pengurus Pembelian"
POLY-DIP-026,Diploma Kejuruteraan Mekanikal (Penyamanan Udara dan Penyejukbekuan),0,Diploma,Kejuruteraan Mekanikal,Kejuruteraan Mekanikal (Penyamanan Udara dan Penyejukbekuan),6,"Diploma Kejuruteraan Mekanikal (Penyamanan Udaradan Penyejukbekuan) direkabentuk untuk merangkumi seluruh disiplin semasa Kejuruteraan Mekanikal dengan pertambahan subjek pengkhususan di dalam bidang Penyamanan Udara dan penyejukbekuan. Kursus teras yang ditawarkan adalah terdiri daripada Kejuruteraan Mekanik, Teknologi Elektrik, Lukisan Kejuruteraan, Bengkel Amali Mekanikal, Teknologi Bengkel, Lukisan Terbantu Komputer, Termodinamik, Makmal Kejuruteaan, Mekanik Bendalir, Kajidaya Bahan, Pneumatik & Hidraulik, Projek, Teknologi Penyamanan Udara & Penyejukbekuan, Bengkel Amali Penyamanan Udara & Penyejukbekuan, Sistem Kawalan Penyamanan Udara & Penyejukbekuan dan Rekabentuk & Lukisan Sistem Penyamanan Udara. Kursus elektif pula adalah Pengurusan Penyenggaraan Komponen & Senggaraan Mekanikal, Pengurusan Industri dan Kawalan & Instrumen. Kursus teras yang biasa terdapat dalam program ini adalah Matematik Kejuruteraan, Aplikasi Komputer, Sains Kejuruteraan, Keselamatan & Kesihatan Pekerjaan dan Keusahawanan. Kursus wajib yang ditawarkan termasuk English for Professional Communication, Tamadun Islam Ko-Kurikulum dan Kemahiran Insaniah untuk melahirkan pelajar-pelajar yang mempunyai kebolehan kendiri, berkeperibadian dan profesionalisma kearah bidang pekerjaan mereka.","Program ini menyediakan kemahiran dan pengetahuan dalam bidang Kejuruteraan Mekanikal di mana ia boleh digunakan secara meluas dalam kerjaya Kejuruteraan Mekanikal. Para pelajar memperolehi kemahiran dan pengetahuan daripada program ini di mana member peluang kepada mereka kepasaran kerja seperti:
	Juruteknik Mekanikal
	Juruteknik Makmal
	Pelukis Plan
	Juruteknik Penyamanan Udara & Penyejukbekuan
	Perekabentuk Penyamanan Udara & Penyejukbekuan
	Penyelia Tapak Penyamanan Udara & Penyejukbekuan
	Penyenggara Mekanik Penyamanan Udara & Penyejukbekuan
	Penolong Jurutera Penyamanan Udara & Penyejukbekuan
	Pegawai Pemasaran Teknikal"
